,,,Total,Total,Total,1912,1912,1913,1913,1914,1914,1915,1915,1916,1916,1917,1917,1918,1918,1918,1919,1919,1920,1920,1921,1921,1922,1922,1923,1923,1924,1924,1925,1925,1926,1926,1927,1927,1928,1928,1929,1929,1930,1930,1931,1931,1932,1932,1933,1933,1934,1934,1935,1935,1936,1936,1937,1937,1938,1938,1939,1939,1940,1940,1941,1941,1942,1942,1943,1943,1944,1944,1945,1945,1946,1946,1947,1947,1948,1948,1948,1949,1949,1950,1950,1951,1951,1952,1952,1953,1953,1954,1954,1955,1955,1956,1956,1957,1957,1958,1958,1959,1959,1960,1960,1961,1961,1962,1962,1963,1963,1964,1964,1965,1965,1966,1966,1967,1967,1968,1968,1969,1969,1970,1970,1971,1971,1972,1972,1973,1973,1974,1974,1975,1975,1976,1976,1977,1977,1978,1978,1979,1979,1980,1980,1981,1981,1982,1982,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015
,,,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Muerto,Total,Vivo,Muerto,Total,Vivo,Muerto
,Total,Agosto,"13,767","13,647",120,,,2,2,,,,,,,,,,,,,,2,2,1,1,1,1,1,1,2,2,4,4,3,3,5,5,3,3,3,3,10,10,4,4,11,11,4,4,5,5,7,7,4,4,2,2,11,11,5,5,5,5,4,4,7,7,5,5,7,7,18,18,7,7,6,6,3,3,,9,9,7,7,4,4,9,9,8,8,9,9,4,4,6,6,3,3,8,8,3,3,6,6,5,5,8,8,1,1,7,7,1,1,10,10,4,4,6,6,3,3,6,6,4,4,1,1,4,4,6,6,8,8,3,3,4,4,2,2,5,5,3,3,3,3,3,3,2,2,1,1,5,5,4,4,4,4,2,2,8,8,6,6,3,3,3,3,9,9,3,3,7,7,9,9,5,5,6,6,4,4,2,2,4,4,7,7,12,12,10,10,11,11,13,13,17,17,32,32,37,37,91,91,163,163,170,170,,288,288,,"1,972","1,968",4,"10,532","10,416",116
,Total,Septiembre,"14,031","13,925",106,,,,,,,,,,,,,1,,1,,,2,2,2,2,2,2,1,1,,,2,2,,,4,4,3,3,2,2,5,5,3,3,9,9,6,6,4,4,9,9,12,12,6,6,4,4,6,6,6,6,3,3,5,5,5,5,10,10,6,6,3,3,3,3,9,9,,6,6,11,11,3,3,11,11,5,5,11,11,6,6,7,7,2,2,6,6,3,3,4,4,3,3,8,8,4,4,4,4,8,8,3,3,4,4,3,3,3,3,4,4,2,2,,,2,2,2,2,3,3,2,2,,,2,2,3,3,3,3,3,3,2,2,2,2,3,3,5,5,2,2,3,3,4,4,1,1,7,7,6,6,6,6,3,3,5,5,8,8,5,5,5,5,2,2,7,7,8,8,7,7,5,5,8,8,10,10,10,10,17,17,24,24,25,25,44,44,96,96,130,130,195,195,,336,335,1,"2,655","2,646",9,"10,111","10,016",95
,Total,Octubre,"13,863","13,748",115,,,1,1,,,1,1,1,1,,,2,2,,1,1,1,1,1,1,1,1,2,2,3,3,1,1,3,3,3,3,,,1,1,8,8,3,3,4,4,8,8,3,3,6,6,7,7,5,5,2,2,4,4,8,8,2,2,10,10,8,8,6,6,10,10,5,5,6,6,11,10,1,7,7,7,7,1,1,9,9,4,4,22,22,8,8,7,7,8,8,6,6,6,6,1,1,2,2,7,7,2,2,6,6,5,5,1,1,10,10,5,5,,,4,4,2,2,1,1,6,6,3,3,2,2,5,5,2,2,,,3,3,4,4,2,2,5,5,2,2,2,2,2,2,2,2,3,3,1,1,1,1,5,5,5,5,7,7,6,6,5,5,10,10,7,7,4,4,3,3,1,1,7,7,7,7,6,6,8,8,13,13,11,11,10,10,14,14,27,27,53,53,91,91,157,157,189,189,,323,323,,"4,052","4,046",6,"8,528","8,420",108
,Total,Noviembre,"13,140","13,040",100,1,1,,,,,,,,,1,1,,,,1,1,1,1,,,,,1,1,1,1,1,1,1,1,2,2,5,5,1,1,7,7,1,1,6,6,4,4,4,4,3,3,4,4,7,7,3,3,5,5,4,4,4,4,7,7,4,4,5,5,6,6,9,9,7,7,9,9,,6,6,9,9,3,3,9,9,4,4,7,7,12,12,4,4,1,1,9,9,3,3,6,6,2,2,,,3,3,6,6,3,3,5,5,3,3,4,4,6,6,5,5,4,4,3,3,2,2,5,5,4,4,5,5,2,2,3,3,3,3,4,4,,,2,2,2,2,4,4,4,4,2,2,4,4,1,1,4,4,,,4,4,6,6,5,5,5,5,6,6,4,4,3,3,7,7,4,4,5,5,2,2,6,6,4,4,10,10,4,4,14,14,17,17,27,27,47,47,107,107,155,155,194,193,1,316,316,,"5,936","5,917",19,"5,969","5,889",80
 ,Total,Diciembre,"14,032","13,902",130,,,,,1,1,,,1,1,1,1,1,1,,,,,,,,,,1,1,2,2,6,6,4,4,4,4,4,4,2,2,10,10,5,5,8,8,5,5,5,5,8,8,5,5,4,4,10,10,7,7,6,6,3,3,8,8,6,6,6,6,14,14,15,15,6,6,11,11,,4,4,11,11,7,7,13,13,12,12,16,16,6,6,7,7,5,5,10,10,2,2,5,5,7,7,4,4,4,4,5,5,,,5,5,1,1,,,1,1,4,4,3,3,6,6,7,7,4,4,2,2,2,2,6,6,1,1,5,5,5,5,3,3,5,5,3,3,1,1,5,5,1,1,4,4,3,3,5,5,6,6,6,6,5,5,1,1,5,5,5,5,13,13,2,2,11,11,4,4,,,4,4,12,12,13,13,19,19,7,7,15,15,21,21,39,39,46,46,114,114,156,156,217,216,1,377,377,,"10,153","10,093",60,"2,412","2,343",69
#NAME?,Aguascalientes,Total,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,1,1,2,2,,2,2,,2,2,,9,9,
#NAME?,Aguascalientes,Enero,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
#NAME?,Aguascalientes,Febrero,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,Aguascalientes,Marzo,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,
#NAME?,Aguascalientes,Abril,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,
