,,,Total,Total,Total,1912,1912,1913,1913,1914,1914,1915,1915,1916,1916,1917,1917,1918,1918,1918,1919,1919,1920,1920,1921,1921,1922,1922,1923,1923,1924,1924,1925,1925,1926,1926,1927,1927,1928,1928,1929,1929,1930,1930,1931,1931,1932,1932,1933,1933,1934,1934,1935,1935,1936,1936,1937,1937,1938,1938,1939,1939,1940,1940,1941,1941,1942,1942,1943,1943,1944,1944,1945,1945,1946,1946,1947,1947,1948,1948,1948,1949,1949,1950,1950,1951,1951,1952,1952,1953,1953,1954,1954,1955,1955,1956,1956,1957,1957,1958,1958,1959,1959,1960,1960,1961,1961,1962,1962,1963,1963,1964,1964,1965,1965,1966,1966,1967,1967,1968,1968,1969,1969,1970,1970,1971,1971,1972,1972,1973,1973,1974,1974,1975,1975,1976,1976,1977,1977,1978,1978,1979,1979,1980,1980,1981,1981,1982,1982,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015
,,,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Total,Vivo,Muerto,Total,Vivo,Muerto,Total,Vivo,Muerto,Total,Vivo,Muerto
 09 004 ,Cuajimalpa de Morelos,Total,"3,251","3,238",13,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,,,,,,,1,1,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,2,2,,,2,2,1,1,,,2,2,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,1,1,,,1,1,1,1,,,1,1,,,,,2,2,,,,,,,,,1,1,2,2,1,1,,,,,,,,,,,1,1,2,2,,,3,3,2,2,3,3,4,4,12,12,19,19,27,27,,45,45,,545,543,2,"2,558","2,547",11
 09 004 ,Cuajimalpa de Morelos,Enero,294,291,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,3,3,,9,9,,278,275,3
 09 004 ,Cuajimalpa de Morelos,Febrero,250,249,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,,2,2,,7,7,,235,234,1
 09 004 ,Cuajimalpa de Morelos,Marzo,279,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,,1,1,,266,266,
 09 004 ,Cuajimalpa de Morelos,Abril,267,266,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,3,3,,,2,2,,2,2,,14,14,,242,241,1
 09 004 ,Cuajimalpa de Morelos,Mayo,256,256,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,3,3,,8,8,,237,237,
 09 004 ,Cuajimalpa de Morelos,Junio,266,265,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,2,2,3,3,,3,3,,10,10,,244,243,1
 09 004 ,Cuajimalpa de Morelos,Julio,269,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,,7,7,,28,28,,227,227,
 09 004 ,Cuajimalpa de Morelos,Agosto,265,264,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,2,,,,,,,,,4,4,2,2,,4,4,,20,20,,231,230,1
 09 004 ,Cuajimalpa de Morelos,Septiembre,274,273,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,3,3,,3,3,,43,43,,221,220,1
 09 004 ,Cuajimalpa de Morelos,Octubre,259,258,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,1,4,4,1,1,2,2,,4,4,,63,63,,179,178,1
 09 004 ,Cuajimalpa de Morelos,Noviembre,281,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,3,3,,,,6,6,,134,134,,136,136,
 09 004 ,Cuajimalpa de Morelos,Diciembre,291,287,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,2,2,6,6,,6,6,,208,206,2,62,60,2
 09 005 ,Gustavo A. Madero,Total,"15,887","15,735",152,,,1,1,,,1,1,2,2,1,1,1,1,,2,2,2,2,1,1,1,1,3,3,,,1,1,5,5,4,4,2,2,2,2,7,7,2,2,5,5,,,3,3,6,6,4,4,4,4,1,1,4,4,5,5,4,4,2,2,3,3,6,6,8,8,5,5,5,5,5,5,,6,6,6,6,5,5,10,10,6,6,6,6,4,4,4,4,3,3,2,2,1,1,2,2,5,5,7,7,2,2,3,3,3,3,2,2,2,2,4,4,4,4,3,3,2,2,4,4,2,2,3,3,2,2,,,,,2,2,1,1,2,2,1,1,3,3,4,4,,,5,5,4,4,1,1,1,1,4,4,5,5,4,4,2,2,5,5,2,2,6,6,4,4,7,7,4,4,2,2,1,1,2,2,4,4,8,8,12,12,10,10,10,10,21,21,22,22,48,48,86,86,190,190,243,242,1,313,313,,"2,889","2,881",8,"11,748","11,605",143
 09 005 ,Gustavo A. Madero,Enero,"1,324","1,311",13,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,1,1,1,1,1,1,3,3,2,2,6,6,9,9,16,16,,19,19,,46,46,,"1,208","1,195",13
 09 005 ,Gustavo A. Madero,Febrero,"1,185","1,173",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,,,1,1,1,1,1,1,1,1,,,,,,,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,1,1,1,1,,,1,1,2,2,4,4,3,3,7,7,18,18,14,14,,15,15,,49,49,,"1,054","1,042",12
 09 005 ,Gustavo A. Madero,Marzo,"1,265","1,254",11,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,1,1,,,,,,,1,1,1,1,,,,,,,,,1,1,,,,,,,1,1,,,,,,,1,1,,1,1,,,1,1,,,,,,,1,1,,,1,1,,,,,1,1,,,,,1,1,,,1,1,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,2,2,,,,,1,1,1,1,2,2,1,1,,,,,1,1,,,,,,,2,2,,,,,,,1,1,1,1,7,7,6,6,21,21,12,12,,16,16,,49,49,,"1,122","1,111",11
 09 005 ,Gustavo A. Madero,Abril,"1,261","1,244",17,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,1,1,,,,,2,2,1,1,1,1,1,1,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,2,2,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,2,2,2,2,2,2,,,2,2,5,5,15,15,25,25,,12,12,,51,51,,"1,121","1,104",17
 09 005 ,Gustavo A. Madero,Mayo,"1,246","1,236",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,,,2,2,,,,,,,,,1,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,1,1,4,4,,,,,1,1,2,2,6,6,10,10,12,12,23,22,1,25,25,,59,59,,"1,086","1,077",9
 09 005 ,Gustavo A. Madero,Junio,"1,277","1,258",19,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,1,,,,,1,1,,,,1,1,,,1,1,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,2,2,,,,,1,1,,,,,1,1,1,1,,,,,1,1,,,1,1,,,,,2,2,1,1,3,3,,,5,5,5,5,15,15,15,15,,27,27,,72,71,1,"1,107","1,089",18
 09 005 ,Gustavo A. Madero,Julio,"1,404","1,396",8,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2,2,,,,,2,2,,,1,1,,,,,,,1,1,1,1,,,1,1,1,1,,,,,1,1,2,2,,,,,,,1,1,,1,1,2,2,,,2,2,1,1,2,2,,,,,,,,,,,,,1,1,3,3,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,2,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,1,1,,,,,1,1,,,,,1,1,,,1,1,2,2,,,6,6,3,3,16,16,22,22,,32,32,,138,138,,"1,148","1,140",8
 09 005 ,Gustavo A. Madero,Agosto,"1,321","1,311",10,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,2,2,1,1,1,1,,,,,3,3,1,1,,,,,,2,2,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,1,1,,,,,1,1,1,1,,,,,,,1,1,,,,,2,2,,,1,1,,,1,1,,,,,,,,,2,2,1,1,,,2,2,,,4,4,5,5,3,3,9,9,17,17,23,23,,34,34,,180,180,,"1,014","1,004",10
 09 005 ,Gustavo A. Madero,Septiembre,"1,453","1,438",15,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,1,1,,,,,1,1,,,,,1,1,2,2,1,1,,,,,,,,,1,1,,,1,1,,,,,,,1,1,,1,1,,,,,1,1,,,1,1,,,,,,,1,1,1,1,,,,,2,2,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,1,1,,,,,,,1,1,,,1,1,,,,,2,2,,,,,,,1,1,,,,,,,1,1,,,3,3,1,1,2,2,8,8,14,14,26,26,,29,29,,242,240,2,"1,098","1,085",13
 09 005 ,Gustavo A. Madero,Octubre,"1,389","1,380",9,,,1,1,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,1,2,2,,,,1,1,1,1,1,1,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,3,3,,,1,1,7,7,4,4,17,17,21,21,,26,26,,395,395,,893,884,9
 09 005 ,Gustavo A. Madero,Noviembre,"1,382","1,370",12,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,1,1,,,1,1,,,1,1,,,,,,,,,1,1,1,1,2,2,,,,,,,,1,1,,,1,1,,,,,,,1,1,,,1,1,,,,,1,1,,,,,,,,,,,1,1,1,1,2,2,,,,,1,1,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,1,1,1,,,,,1,1,3,3,5,5,13,13,21,21,23,23,,34,34,,610,609,1,644,633,11
 09 005 ,Gustavo A. Madero,Diciembre,"1,380","1,364",16,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,1,1,2,2,,,2,2,,,,,,,1,1,1,1,2,2,,,,,,,,1,1,1,1,,,,,1,1,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,1,1,,,1,1,,,,,,,,,1,1,,,,,2,2,1,1,,,1,1,,,,,,,1,1,1,1,2,2,2,2,1,1,1,1,2,2,,,10,10,15,15,23,23,,44,44,,998,994,4,253,241,12
 09 006 ,Iztacalco,Total,"5,170","5,119",51,,,,,,,,,,,,,,,,1,1,,,3,3,1,1,,,,,1,1,1,1,1,1,1,1,,,3,3,,,,,,,2,2,1,1,1,1,1,1,1,1,2,2,3,3,,,2,2,,,1,1,4,4,,,1,1,1,1,,,,2,2,1,1,1,1,,,1,1,2,2,,,2,2,,,1,1,1,1,,,1,1,2,2,1,1,1,1,1,1,,,,,1,1,1,1,2,2,1,1,1,1,,,,,1,1,,,,,3,3,2,2,,,1,1,2,2,2,2,,,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,,,5,5,1,1,,,2,2,1,1,,,1,1,2,2,2,2,3,3,2,2,4,4,1,1,11,11,13,13,25,25,46,46,56,56,,94,94,,891,886,5,"3,932","3,886",46
 09 006 ,Iztacalco,Enero,447,444,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,1,1,1,1,4,4,6,6,,8,8,,5,5,,414,411,3
 09 006 ,Iztacalco,Febrero,387,384,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,,6,6,,13,13,,354,351,3
 09 006 ,Iztacalco,Marzo,456,448,8,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,1,1,,,,,2,2,5,5,5,5,2,2,,4,4,,11,11,,413,405,8
 09 006 ,Iztacalco,Abril,379,375,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,3,3,1,1,,8,8,,11,11,,350,346,4
 09 006 ,Iztacalco,Mayo,421,419,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,4,4,8,8,,2,2,,7,7,,388,386,2
 09 006 ,Iztacalco,Junio,411,407,4,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,4,4,8,8,,3,3,,14,14,,367,363,4
 09 006 ,Iztacalco,Julio,430,427,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,,,,,1,1,2,2,5,5,4,4,,12,12,,39,39,,359,356,3
 09 006 ,Iztacalco,Agosto,449,444,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,2,2,,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,1,1,3,3,7,7,6,6,,7,7,,56,56,,358,353,5
 09 006 ,Iztacalco,Septiembre,474,466,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,2,2,,,2,2,1,1,1,1,4,4,3,3,,7,7,,88,87,1,357,350,7
 09 006 ,Iztacalco,Octubre,451,448,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,2,7,7,,11,11,,125,124,1,299,297,2
 09 006 ,Iztacalco,Noviembre,429,424,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,2,2,,,4,4,2,2,4,4,,7,7,,199,197,2,204,201,3
 09 006 ,Iztacalco,Diciembre,436,433,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,1,1,2,2,3,3,4,4,5,5,,19,19,,323,322,1,69,67,2
 09 007 ,Iztapalapa,Total,"25,309","25,060",249,,,,,,,,,2,2,1,1,,,,2,2,,,3,3,1,1,3,3,1,1,5,5,2,2,4,4,2,2,4,4,14,14,7,7,6,6,4,4,5,5,7,7,10,10,3,3,5,5,6,6,8,8,2,2,6,6,1,1,5,5,5,5,3,3,6,6,10,10,,4,4,14,14,6,6,5,5,4,4,9,9,6,6,6,6,6,6,7,7,6,6,6,6,2,2,6,6,10,10,7,7,9,9,2,2,5,5,3,3,6,6,4,4,1,1,2,2,4,4,4,4,2,2,4,4,3,3,4,4,1,1,2,2,4,4,2,2,1,1,3,3,3,3,2,2,4,4,2,2,4,4,8,8,6,6,6,6,8,8,8,8,10,10,6,6,7,7,13,13,4,4,11,11,14,14,18,18,16,16,20,20,20,20,26,26,40,40,41,41,96,96,179,179,311,311,365,365,,604,603,1,"5,317","5,299",18,"17,827","17,597",230
 09 007 ,Iztapalapa,Enero,"2,128","2,107",21,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,1,1,,,2,2,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,2,2,,,,,,,2,2,,,2,2,1,1,,,1,1,3,3,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,,,,,,1,1,2,2,,,2,2,1,1,,,1,1,,,1,1,1,1,1,1,2,2,3,3,2,2,2,2,2,2,9,9,21,21,28,28,,43,43,,102,102,,"1,875","1,854",21
