,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1993,Agosto,,,,297,,,,,,,,,,,,,,,,,,,,,,
1993,Septiembre,,,,324,,,,,,,,,,,,,,,,,,,,,,
1993,Octubre,,,,340,,,,,,,,,,,,,,,,,,,,,,
1993,Noviembre,,,,365,,,,1,,,,,,,,,,,,,,,,,,
1993,Diciembre,,,,462,12,,,,,,,,,,,,,,,,,,,,,
1993,No especificado,,,,1,,,,,,,,,,,,,,,,,,,,,,
1994,Total,,,,,"4,303",47,,,,,,,,,,,,,,,,,,,,
1994,Enero,,,,,469,2,,,,,,,,,,,,,,,,,,,,
1994,Febrero,,,,,315,1,,,,,,,,,,,,,,,,,,,,
1994,Marzo,,,,,350,,,,,,,,,,,,,,,,,,,,,
1994,Abril,,,,,326,,,,,,,,,,,,,,,,,,,,,
1994,Mayo,,,,,343,,,,,,,,,,,,,,,,,,,,,
1994,Junio,,,,,338,,,,,,,,,,,,,,,,,,,,,
1994,Julio,,,,,364,,,,,,,,,,,,,,,,,,,,,
1994,Agosto,,,,,319,5,,,,,,,,,,,,,,,,,,,,
1994,Septiembre,,,,,327,6,,,,,,,,,,,,,,,,,,,,
1994,Octubre,,,,,381,5,,,,,,,,,,,,,,,,,,,,
1994,Noviembre,,,,,396,5,,,,,,,,,,,,,,,,,,,,
1994,Diciembre,,,,,373,23,,,,,,,,,,,,,,,,,,,,
1994,No especificado,,,,,2,,,,,,,,,,,,,,,,,,,,,
1995,Total,,,,,,"4,018",28,1,,,,,,,,,,,,,,,,,,
1995,Enero,,,,,,406,1,,,,,,,,,,,,,,,,,,,
1995,Febrero,,,,,,308,,,,,,,,,,,,,,,,,,,,
1995,Marzo,,,,,,326,,,,,,,,,,,,,,,,,,,,
1995,Abril,,,,,,301,,,,,,,,,,,,,,,,,,,,
1995,Mayo,,,,,,310,1,1,,,,,,,,,,,,,,,,,,
1995,Junio,,,,,,312,1,,,,,,,,,,,,,,,,,,,
1995,Julio,,,,,,314,,,,,,,,,,,,,,,,,,,,
1995,Agosto,,,,,,306,,,,,,,,,,,,,,,,,,,,
1995,Septiembre,,,,,,310,,,,,,,,,,,,,,,,,,,,
1995,Octubre,,,,,,340,,,,,,,,,,,,,,,,,,,,
1995,Noviembre,,,,,,338,,,,,,,,,,,,,,,,,,,,
1995,Diciembre,,,,,,447,25,,,,,,,,,,,,,,,,,,,
1996,Total,,,,,,,"3,837",11,3,,,,,,,,,,,,,,,,,
1996,Enero,,,,,,,419,,1,,,,,,,,,,,,,,,,,
1996,Febrero,,,,,,,305,1,,,,,,,,,,,,,,,,,,
1996,Marzo,,,,,,,311,,1,,,,,,,,,,,,,,,,,
1996,Abril,,,,,,,273,,1,,,,,,,,,,,,,,,,,
1996,Mayo,,,,,,,274,,,,,,,,,,,,,,,,,,,
1996,Junio,,,,,,,278,,,,,,,,,,,,,,,,,,,
1996,Julio,,,,,,,284,,,,,,,,,,,,,,,,,,,
1996,Agosto,,,,,,,324,,,,,,,,,,,,,,,,,,,
1996,Septiembre,,,,,,,300,,,,,,,,,,,,,,,,,,,
1996,Octubre,,,,,,,325,,,,,,,,,,,,,,,,,,,
1996,Noviembre,,,,,,,344,,,,,,,,,,,,,,,,,,,
1996,Diciembre,,,,,,,393,10,,,,,,,,,,,,,,,,,,
1996,No especificado,,,,,,,7,,,,,,,,,,,,,,,,,,,
1997,Total,,,,,,,,"3,834",22,,,,,,,,,,,,,,,,,
1997,Enero,,,,,,,,392,1,,,,,,,,,,,,,,,,,
1997,Febrero,,,,,,,,284,,,,,,,,,,,,,,,,,,
1997,Marzo,,,,,,,,329,,,,,,,,,,,,,,,,,,
1997,Abril,,,,,,,,262,,,,,,,,,,,,,,,,,,
1997,Mayo,,,,,,,,284,,,,,,,,,,,,,,,,,,
1997,Junio,,,,,,,,295,1,,,,,,,,,,,,,,,,,
1997,Julio,,,,,,,,309,,,,,,,,,,,,,,,,,,
1997,Agosto,,,,,,,,272,,,,,,,,,,,,,,,,,,
1997,Septiembre,,,,,,,,286,,,,,,,,,,,,,,,,,,
1997,Octubre,,,,,,,,380,,,,,,,,,,,,,,,,,,
1997,Noviembre,,,,,,,,346,8,,,,,,,,,,,,,,,,,
1997,Diciembre,,,,,,,,391,12,,,,,,,,,,,,,,,,,
1997,No especificado,,,,,,,,4,,,,,,,,,,,,,,,,,,
1998,Total,,,,,,,,,"3,672",11,,,,,,,,,,,,,,,,
